Filename,Contrast,Homogeneity,Entropy
lebat (32).jpg,37.478446691176934,0.29089581648012963,9.58428522599255
lebat (33).jpg,97.23728553921555,0.21912918885211313,10.768761866611706
lebat (34).jpg,119.0526501225487,0.20471573115297023,11.411120228211058
lebat (35).jpg,105.26793811274446,0.21059047987495108,11.100934431991273
lebat (36).jpg,98.97443321078397,0.21592173718818966,10.978566023439553
lebat (37).jpg,65.05320159313763,0.25519296056856977,10.568731867521562
lebat (38).jpg,59.736213235294564,0.263283436940151,10.417196908340921
lebat (39).jpg,62.69471507352988,0.24742316730441938,10.459873329564797
lebat (4).jpg,90.2842984068627,0.2273387329519785,11.221876592257885
lebat (40).jpg,63.62524509803986,0.24983598697276485,10.336519983326452
lebat (41).jpg,55.70220588235355,0.2591147456318254,10.421666236539934
lebat (42).jpg,62.21606924019655,0.2560108225201319,10.503695570001744
lebat (43).jpg,51.627604166667055,0.26926369253129673,10.2205343305741
lebat (44).jpg,125.1956341911766,0.19681203089974092,11.348581499055248
lebat (45).jpg,107.29001225490154,0.21761167506768947,11.230521269816155
lebat (46).jpg,118.662852328431,0.20777008340365927,11.400837055095216
lebat (47).jpg,80.32858455882322,0.2518627792280637,10.500023003316908
lebat (48).jpg,78.96280637254873,0.2444163698582805,10.40210938062128
lebat (49).jpg,92.78805147058654,0.23757064053291715,10.781826905241925
lebat (5).jpg,75.45862438725473,0.23959091835062096,11.033745001098701
lebat (50).jpg,85.93860294117582,0.23641407143671428,10.64582477762549
lebat (51).jpg,65.99439338235307,0.25367022259931,10.267652816709884
lebat (52).jpg,81.10039828431341,0.23865560873467404,10.437937492885798
lebat (53).jpg,111.50219056372445,0.22261103500323112,10.937143904574139
lebat (54).jpg,85.77715992647032,0.23544099742816427,10.57228018503482
lebat (55).jpg,88.93682598039162,0.23428104984585663,10.619062332459734
lebat (56).jpg,89.70526960784296,0.23220221200953434,10.62983007429351
lebat (57).jpg,93.126853553921,0.2352118050849148,10.618670060976907
lebat (58).jpg,88.86452205882318,0.23196227315418527,10.56835684946331
lebat (59).jpg,122.18008578431275,0.20865104617630992,11.37792546950073
lebat (6).jpg,81.96116727941184,0.24831153752428034,10.736242664620832
lebat (60).jpg,90.64491421568547,0.24685849071323746,11.434425560729421
lebat (61).jpg,129.50004595588155,0.20634230606912005,11.696838966708135
lebat (62).jpg,139.37489276960767,0.2123477262571095,11.822625284788286
lebat (63).jpg,123.73880208333253,0.2119165427705673,11.56350916049656
lebat (64).jpg,179.02306985294186,0.17741926181426135,11.889541357551089
lebat (65).jpg,87.18414522058809,0.2256546363999834,11.004589682319427
lebat (66).jpg,118.53435968137165,0.21309811796071082,11.621955738656833
lebat (67).jpg,104.42803308823478,0.22252305594985036,11.62879163598454
lebat (68).jpg,108.68953737745103,0.20922050393184305,11.445925957519753
lebat (69).jpg,111.50716911764623,0.21585060635735778,11.560181719037654
lebat (7).jpg,61.028676470588785,0.2607405193676228,10.635787553252086
